CODE	CON2	CON3	DIST	QUAR	VIL	CLAN	SEXE	SELF	BUD	TABLE	SALON	AGE	ETU5	ETU2
237	Oui	2	3	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	3950	Non	Non	19	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
98	Non	0	20	Nkol Nguégué	Yemessoa I	Béloua	Homme	(1) Petit	3700	Oui	Non	20	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
157	Non	0	30	Biling Bitom	Yemessoa I	Béloua	Homme	(1) Petit	1250	Non	Non	21	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
325	Oui	1	10	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	2200	Oui	Non	21	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
299	Oui	1	10	Nkol Ambenbe	Yemessoa III	Béti	Homme	(3) Grand	4450	Oui	Non	21	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
91	Non	0	1000	Nkol Mekongo	Yemessoa III	Béti	Femme	(1) Petit	1500	Oui	Oui	22	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
215	Oui	1	20	Biling Bitom	Yemessoa I	Béti	Homme	(2) Moyen	1150	Oui	Non	24	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
48	Oui	2	15	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	8550	Non	Non	25	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
50	Oui	2	30	Elig Messobo	Yemessoa II	Béti	Homme	(3) Grand	13575	Non	Non	26	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
154	Non	0	50	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	1750	Non	Non	28	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
253	Oui	1	100	Mebang Mengoe	Yemessoa I	Béti	Homme	(2) Moyen	17100	Oui	Oui	28	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
32	Non	0	50	Nkol Ambenbe	Yemessoa III	Béti	Femme	(2) Moyen	1250	Oui	Non	28	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
26	Non	0	15	Nkol Ambenbe	Yemessoa III	Béti	Homme	(1) Petit	8500	Oui	Oui	28	ETU4 : Collège	ETU2 : Supérieur au CEP
153	Non	0	50	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	1650	Non	Non	30	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
341	Non	0	600	Elig Messobo	Yemessoa II	Béti	Homme	(1) Petit	3300	Non	Non	30	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
284	Non	0	650	Zogo Ntso	Yemessoa I	Béti	Homme	(3) Grand	3100	Oui	Non	30	ETU5 : BEPC et +	ETU2 : Supérieur au CEP
145	Oui	1	20	Biling Bitom	Yemessoa I	Béti	Homme	(1) Petit	1250	Oui	Non	31	ETU3 : CEP-CAP	ETU2 : Supérieur au CEP
307	Non	0	1	Elig Messobo	Yemessoa II	Béti	Homme	(2) Moyen	4000	Oui	Non	31	ETU2 :  Primaire sans CEP	ETU1: inférieur au CEP
